text,title
"hospital be suppose to be immune from attack in time of war but israel have repeatedly bomb and shell they since october 7 , 2023 . this film look at israel 's destruction of gaza 's hospital in the context of its historical expansion at the expense of the palestinian population , go back to 1948 . the israeli army cut off water , power , fuel and medical supply to gaza and have attack most of its hospital . it claim that al - shifa hospital shield a hamas command centre and attack it despite the hundred of civilian shelter there – but produce little evidence to support that claim . the allege war crime that the international criminal court be seek arrest warrant for on both side include israel 's deliberate targeting of civilian , many of whom have take shelter in gaza 's hospital .",gaza: the war on hospitals
"here be how thing stand on sunday , march 24 , 2024 :","is­rael’s war on gaza: list of key events, day 170"
"the united nations general assembly ( unga ) have overwhelmingly vote to support a palestinian bid to become a full un member by recognise it as qualified to join and recommend the un security council "" reconsider the matter favourably "" .",un backs palestine’s bid for membership: how did your country vote?
australia say it will restore funding to the united nations agency for palestinian refugee week after it lose million of dollar in international support follow allegation by israel that some of its staff in the gaza strip be involve in the october 7 hamas - lead attack .,australia to unfreeze unrwa funding as israel attacks gaza aid seekers
this live page be now close . you can continue to follow our coverage of the war in gaza here .,"israel war on gaza updates: israelis hit with roadside bomb, mortar fire"
aid truck be enter gaza through karem abu salem cross in the south as the living condition of hundred of thousand of palestinians continue to deteriorate under israel 's relentless war on the palestinian enclave .,aid trucks enter gaza after weeks as israeli attacks continue across strip
""" I live out by o'hare . every time a plane fly overhead at night , my hand shake . I be look for a place to hide . and then the siren too – the police and ambulance siren . I know they be not there , but it feel like soldier be just outside the window . we use to watch they walk up and down the road by my grandparent ' house , and we be not to say anything . they would harass everyone , beat people up , include my grandpa . we be suppose to stay inside . my cousin be kill , "" my patient tell I last november during a psychotherapy session in chicago , home to the large population of palestinian people in the united states . "" I have not feel like this , have nightmare like this , since I be a kid . """,the solidarity of shared trauma: de-exceptionalising gaza
"alex cosh be an editor with the status - quo - allergic independent canadian news upstart , the maple .",the canadian arms embargo on israel that was not
"at least five palestinians , include a teenager , have be kill during an israeli military raid in the occupy west bank city of tulkarem .","several killed in israel raid on west bank as us, eu sanction more settlers"
"iran have warn israel of a large attack on its territory should it retaliate against tehran 's overnight drone and missile attack , add that the united states should not back an israeli military action .","iran warns israel, us of ‘severe response’ in case of retaliation"
"columbia university have cancel its university - wide commencement ceremony after it crack down on student protest in support of palestinians , a campus movement that spur a wave of similar demonstration around the world .",columbia university cancels main commencement ceremony after gaza protests
nan,biden urges israeli leaders to ‘stand behind’ gaza ceasefire proposal
""" shoulder ! "" I beg . "" shoulder ! shoulder ! ""","to understand my dad, i needed to learn about the day he was shot"
"london , united kingdom – gillan mosely begin question her upbringing as a teenager .",‘diaspora jews think judaism is more important than zionism’: uk filmmaker
"the lebanese group hezbollah say it have launch drone attack on israeli basis north of the city of acre in retaliation for the killing of one of its fighter , mark the deep attack into israeli territory since the gaza war begin .",hezbollah launches deepest attack inside israel since gaza war began
nan,canada police use tear gas on anti-gaza war protesters
"al jazeera 's investigative unit ( i - unit ) have carry out a forensic analysis of the event of october 7 , when hamas fighter launch an incursion into israel that have transform the politic of the middle east .","october 7: forensic analysis shows hamas abuses, many false israeli claims"
"iran 's supreme leader ayatollah ali khamenei have praise the country 's armed force for their "" success "" after tehran launch an unprecedented direct attack on israel last week .",supreme leader khamenei says iran demonstrated its power against israel
"volker turk , the united nations human right chief , have say he be "" horrified "" by the destruction of nasser medical complex and al - shifa hospital in the gaza strip and report of mass grave find in and around the hospital amid israel 's war on gaza .","as more bodies found, un’s turk ‘horrified’ by gaza mass graves reports"
"four day ago , iraq 's airspace have hundred of projectile fire from iran fly through it towards israel , catch in the crossfire of what many fear could be the opening salvo of a regional war drag in the united states .",iraq’s dangerous balancing act between iran and the us
"here be how thing stand on wednesday , april 3 , 2024 :","israel’s war on gaza: list of key events, day 180"
"just like the us do in iraq and afghanistan , israel have enter a war in gaza with vague and overambitious aim .",what if israel’s plan was no ‘day after’ for gaza all along?
"as al jazeera report in march , israel continue to use white phosphorus munition in south lebanon , cause last damage and drive villager away even as israeli official threaten a war across their northern border .",israel white phosphorous attacks on lebanon harming people and ecosystem
"israeli force have seize control of gaza 's rafah border crossing , cut off a vital route for humanitarian aid and potential sanctuary for civilian from a building offensive .",israel seizes key gaza border crossing as it launches assault on rafah
"the israeli army be reinforce its position within the gaza strip , ostensibly before a long - telegraph assault on rafah and the hamas brigade it say be present there .","gaza, a thorn in israel’s side or its dream?"
this live page be now close .,israel’s war on gaza updates: school strike contradicts ‘all moral values’
nan,"‘we are not numbers’, children in gaza stage eid protest"
lead shipping industry group have call for action to halt houthi attack on vessel in the red sea after the sinking of a second ship .,shipping industry groups call for action after houthis sink second vessel
"one evening in 2004 , when john francis mulligan , a us - bear irish citizen , be in the west bank , a stranger ask he to walk she to a funeral .",‘he’s lost my vote’: many irish americans turn against biden over gaza war
this live page be now close .,israel’s war on gaza updates: 23 killed in air strikes on food-aid workers
"the united states house of representatives be review a bill that call for a reassessment of the country 's relationship with south africa , amid tension between the nation .",are us-south africa ties at breaking point over israel’s war on gaza?
nan,heckler demands netanyahu’s resignation at holocaust memorial event
"israeli soldier shoot dead two unarmed palestinian man in gaza , their body bury in sand and rubbish by an army bulldozer , exclusive broadcast footage obtain by al jazeera have show .",israeli soldiers shoot and kill two unarmed palestinian men in gaza: video
"a senior us department of state official and expert on israeli - palestinian affair have resign this week , united states media report , amid the eight - month war in gaza that have kill more than 37 , 400 palestinians .",top us state department official for israel-palestine affairs resigns
"at least 15 people have be kill in israeli ground and air attack on the bureij and maghazi refugee camp in central gaza , a palestinian health official have say .",at least 15 killed in israeli attack on central gaza refugee camps
nan,ramaphosa: we are pleased and sad over icj outcome
seven people work with the united states - base ngo world central kitchen ( wck ) have be kill in the gaza strip in what the group 's founder chef say be an israeli air attack .,seven world central kitchen workers killed in gaza: what we know
"last month , the israeli military finally withdraw from gaza 's al - shifa hospital after a two - week raid , leave behind nothing but apocalyptic scene of death and destruction .",gaza lost much more than a hospital when it lost al-shifa
nan,wck aid worker killings are a ‘message to the world’
nan,palestinian life under israeli occupation
this live page be now close . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: israel hits rafah as hamas accepts truce deal
nan,yemen’s houthis release video of attack on ship in red sea
the head of the united nations agency for palestinian refugee ( unrwa ) have warn that israel 's effort to dismantle it while a humanitarian disaster be unfold in the bombard and besiege gaza strip would have devastating consequence if successful .,unrwa head warns of ‘insidious’ israeli campaign to dismantle agency
palestinian footballer mohammed barakat have be kill in an israeli bombing of his house in khan younis during the ongoing war in gaza .,palestine footballer barakat killed in israel’s war on gaza
nan,"palestinian journalist searches for missing mother, only to find her body"
it have barely be three month since palestinian international footballer mohamme balah make his long - await return to al sadaqa football club in gaza when israel launch its war on the strip follow the october 7 hamas attack in southern israel .,‘i’ve lost everything’: palestine footballer balah on israel’s war on gaza
"south africa have ask the international court of justice ( icj ) to order additional emergency measure against israel over its war on gaza , the court have say .",south africa asks icj for more measures against israel over gaza ‘famine’
"here be how thing stand on saturday , march 30 , 2024 :","israel’s war on gaza: list of key events, day 176"
nan,the take: observing ramadan against the backdrop of war
nan,un security council endorses us-proposed plan for gaza ceasefire
"imprison palestinian novelist and activist walid daqqa , who be suffer from cancer , have die in israel 's shamir medical center , accord to the palestinian commission of detainee and ex - detainee affair .",terminally ill palestinian prisoner walid daqqa dies in israeli custody
the live page be now close . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: no plan to protect civilians in rafah – us
"london , england – as the united kingdom gear up for a general election , trust in the ruling and main opposition party among some community be in sharp decline over their position on israel 's war on gaza .","‘as someone with palestinian heritage, i couldn’t stay in the labour party’"
"the death toll in israel 's late military assault across the gaza strip have rise to 226 and more than 400 wound , accord to the government medium office in the besiege territory .",‘bodies scattered on streets’: israel kills 226 in central gaza attacks
"I arrive in rafah in the early hour of october 9 and make my way to my family home in gaza city amid intense israeli air strike . the next day , I walk with my cousin to al - shifa hospital to begin work , not realise this would be the beginning of a 43 - day nightmare .",i spent 43 days in gaza’s now-destroyed hospitals. my mind is still there.
nan,13-year-old palestinian boy shot dead by israeli troops
"montreal , canada – "" unlivable . "" that be how canada 's immigration minister , marc miller , describe the situation in the gaza strip in late december .",'mission impossible'
"as israel 's brutal war on gaza continue , the 2 . 3 million resident of the besiege palestinian territory face the imminent risk of famine .",how can israel’s war on gaza be allowed to continue?
nan,cross-border fighting with israel leaves lebanese towns in ruins
israel 's seizure of the rafah crossing worsen an already dire situation for the 2 . 3 million palestinians in gaza .,will israel face consequences over its seizure of the rafah crossing?
nan,eid prayers by palestinians in gaza and jerusalem’s al-aqsa mosque
"throughout israel 's war on gaza , serbia have seek to publicly avoid political involvement in the conflict , with belgrade maintain a relatively neutral position aim at preserve relationship .","as gaza is pummelled, is serbia secretly sending weapons to israel?"
nan,professors arrested as police use ‘violence’ to clear us university camp
nan,the take: a palestinian doctor’s fight to speak about gaza on nakba day
nan,‘the war made me ugly’ says palestinian girl
nan,colombia president cuts ties with israel over war on gaza
nan,rafah rescue team uses pulley to retrieve man injured by israeli attack
nan,global day of action over gaza war
"mass grave find in two hospital in the gaza strip contain 392 body , include those of woman , child and the elderly , show sign of torture and execution , official in the enclave have say .",evidence of torture as nearly 400 bodies found in gaza mass graves
"burlington , vermont – if it can happen here , it can happen anywhere .",'rendered invisible'
"israel 's military campaign in gaza have bring "" relentless death and destruction "" to palestinians in the strip , united nations secretary - general antonio guterre have say .",israel has brought ‘relentless death and destruction’ to gaza: un chief
this live page be now close .,israel war on gaza updates: ‘we’re running from death towards death’
nan,the take: why israeli military units could be sanctioned by the us
the live page be now close . you can continue to follow our coverage of the war in gaza here .,"israel’s war on gaza updates: israel blocked half of march food convoys, un"
"thousand of israelis have join a march through occupy east jerusalem , with some attack palestinians and shout racist slogan , as part of an annual demonstration mark israel 's occupation of the city .","thousands of israelis march through jerusalem, some attacking palestinians"
"israel 's prime minister benjamin netanyahu have approve plan for an attack on rafah , where 1 . 4 million displace palestinians have seek shelter , while plan to send a team to far truce talk in qatar after mock a ceasefire proposal by hama as "" ridiculous "" .",israel approves plan to attack gaza’s rafah but keeps truce talks alive
""" it smell like death , "" say maha thaer , a mother of four , as she return to her devastated home in khan younis after israeli troop announce their withdrawal from southern gaza .",khan younis ‘smells like death’ as palestinians return to devastated homes
"the united states be consider impose sanction on the israeli battalion , netzah yehuda , an all - male ultra - orthodox battalion unit accuse of human right violation during its operation in the occupy west bank , accord to we medium report .","what is netzah yehuda, the israeli battalion facing possible us sanctions?"
nan,israel supporters attack anti-war protesters at ucla university in us
nan,icc seeks arrest warrants for leaders of israel and hamas
nan,hezbollah commander killed in israeli drone strike in lebanon
nan,us universities crack down on pro-palestine protests
nan,police clear pro-palestine encampment at ucla
"the only effective and efficient way to deliver heavy good to meet gaza 's humanitarian need be by road and include an exponential increase in commercial delivery , say the united nations secretary - general antonio guterre .","only effective way to ramp up gaza aid is by land, un chief guterres says"
"mcdonald 's have say it will buy its 30 - year - old israel franchise from alonyal , take back ownership of 225 outlet that employ more than 5 , 000 people .",mcdonald’s buys all 225 of israeli franchise restaurants after boycotts
"here be how thing stand on wednesday , march 13 , 2024 :","is­rael’s war on gaza: list of key events, day 159"
this live page be now close . you can continue to follow our coverage of the war on gaza here .,israel’s war on gaza updates: israeli strikes kill dozens of palestinians
"washington , dc – us president joe biden have sign into law a $ 94bn foreign funding bill that include military aid to israel , ukraine and taiwan , end a month - long legislative impasse in washington over the assistance .","biden signs law securing billions in us aid for ukraine, israel"
the live page be now close . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: israel ‘negative’ on hamas truce proposal
nan,how gaza protest at columbia university has escalated
nan,what does the un resolution on gaza ceasefire mean?
clash between student and police officer have be report all over the united states during intensify university protest .,are us campus protests against israel’s war on gaza going global?
"on may 5 , the break news that hamas have accept a ceasefire deal spread like wildfire across gaza , send people to the street celebrate . their joy be short - live , however , as israel press forward with a deadly ground assault on rafah .",the us and israel are playing a dangerous game
"an israeli tank crew "" likely "" open machinegun fire on an identifiable group of journalist near the border with lebanon who be also targette by shell , a new report have find .",israeli tank ‘likely’ fired machinegun at journalists near lebanon border
"at least three seafarer have be kill in a houthi missile attack on a merchant ship in the gulf of aden , the united states military say , mark the first fatality report since the iran - align yemeni group begin attack against shipping in one of the world 's busy sea lane over israel 's war on gaza .",houthi attack kills three sailors in group’s first fatal strike on shipping
"fitch rating have upgrade qatar to aa , its third - high rating , on the back of revenue expect from its expand gas field , the agency have say .",fitch ratings upgrades qatar to third-highest on back of gas expansion
"turkey have halt export and import to and from israel , the turkish ministry of trade say , cite the "" worsen humanitarian tragedy "" in gaza .",turkey says it halts trade with israel over gaza aid access
tension and tit - for - tat attack be escalate between israel and the lebanese group hezbollah .,are lebanon’s hezbollah and israel about to go to war?
the united nations human right office say war crime may have be commit by both israeli force and palestinian armed group during an israeli raid on nuseirat in central gaza last week .,israeli killings of gaza civilians during raid may be war crimes: un
nan,what we know about deadly houthi attack on cargo ship
